Final Adaptive DMA benchmark
Waiting for CPU1 load generator...
CPU1 load generator ready
CONFIG,repeats=3,phases=4,samples_per_phase=25,dma_bytes=8388608
SAMPLE_HEADER,repeat,mode,phase,load,sample,cpu_ticks,cpu_cycles,level_before,level_after,dma_command
MODE_BEGIN,CPU_ONLY
SAMPLE,2,CPU_ONLY,ON_B,1,16,798464,97.46,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,17,800963,97.77,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,18,800531,97.72,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,19,800797,97.75,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,20,798907,97.52,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,21,797005,97.29,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,22,797352,97.33,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,23,799835,97.63,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,24,800563,97.72,255,255,0
MODE_END,CPU_ONLY
LIMITS,baseline_off=95.04,baseline_on=97.52,low=123.55,high=142.56
MODE_BEGIN,FIXED_MAX
SAMPLE,0,FIXED_MAX,OFF_A,0,0,1793365,218.91,255,255,0
SAMPLE,0,FIXED_MAX,OFF_A,0,1,1787588,218.21,255,255,0
SAMPLE,0,FIXED_MAX,OFF_A,0,2,1793527,218.93,255,255,1
SAMPLE,0,FIXED_MAX,OFF_A,0,3,1788713,218.34,255,255,1
SAMPLE,0,FIXED_MAX,OFF_A,0,4,1789596,218.45,255,255,2
SAMPLE,0,FIXED_MAX,OFF_A,0,5,1789803,218.48,255,255,2
SAMPLE,0,FIXED_MAX,OFF_A,0,6,1790021,218.50,255,255,3
SAMPLE,0,FIXED_MAX,OFF_A,0,7,1789907,218.49,255,255,3
SAMPLE,0,FIXED_MAX,OFF_A,0,8,1793658,218.95,255,255,4
SAMPLE,0,FIXED_MAX,OFF_A,0,9,1786515,218.08,255,255,4
SAMPLE,0,FIXED_MAX,OFF_A,0,10,1785538,217.96,255,255,5
SAMPLE,0,FIXED_MAX,OFF_A,0,11,1790234,218.53,255,255,5
SAMPLE,0,FIXED_MAX,OFF_A,0,12,1788864,218.36,255,255,6
SAMPLE,0,FIXED_MAX,OFF_A,0,13,1788974,218.38,255,255,6
SAMPLE,0,FIXED_MAX,OFF_A,0,14,1795722,219.20,255,255,7
SAMPLE,0,FIXED_MAX,OFF_A,0,15,1793276,218.90,255,255,8
SAMPLE,0,FIXED_MAX,OFF_A,0,16,1785818,217.99,255,255,8
SAMPLE,0,FIXED_MAX,OFF_A,0,17,1786924,218.13,255,255,9

SAMPLE,0,FIXED_MAX,OFF_A,0,18,1783255,217.68,255,255,9
SAMPLE,0,FIXED_MAX,OFF_A,0,19,1787970,218.25,255,255,10
